taxa	GenLength
Geopelia_cuneata	4.083128243
Geopelia_striata	3.885029558
Geopelia_placida	3.403845412
Geopelia_maugeus	3.23052121
Geopelia_humeralis	4.966224013
Trugon_terrestris	6.939343846
Otidiphaps_aruensis	3.026299613
Otidiphaps_nobilis	7.187772764
Otidiphaps_cervicalis	3.026299613
Otidiphaps_insularis	3.026299613
Microgoura_meeki	3.026299613
Goura_cristata	9.365100204
Goura_sclaterii	3.026299613
Goura_scheepmakeri	10.22237937
Goura_victoria	9.666119415
Caloenas_nicobarica	7.594316024
Caloenas_maculata	3.859269173
Raphus_cucullatus	3.026299613
Pezophaps_solitaria	3.026299613
Didunculus_strigirostris	4.460424398
Chalcophaps_indica	4.79860397
Chalcophaps_longirostris	4.083012553
Chalcophaps_stephani	4.619806514
Turtur_chalcospilos	4.827534952
Turtur_abyssinicus	5.79217825
Turtur_afer	4.680240575
Turtur_tympanistria	4.736045027
Turtur_brehmeri	5.876161195
Oena_capensis	3.156125478
Phapitreron_leucotis	4.105504392
Phapitreron_nigrorum	3.026299613
Phapitreron_brevirostris	3.026299613
Phapitreron_amethystinus	3.709340015
Phapitreron_maculipectus	3.026299613
Phapitreron_frontalis	3.026299613
